Approved_symbol,HGNC_ID,Approved_symbol,Chromosome,Locus_group,Locus_type,HGNC_family_name,Date_symbol_changed,Ensembl_gene_ID,NCBI_gene_ID,UniProt_accession
CHST6,HGNC:6938,CHST6,16,protein-coding gene,gene with protein product,,,ENSG00000183196,4166,Q9GZX3
CHST7,HGNC:13817,CHST7,X,protein-coding gene,gene with protein product,,,ENSG00000147119,56548,Q9NS84
CHST8,HGNC:15993,CHST8,19,protein-coding gene,gene with protein product,,,ENSG00000124302,64377,Q9H2A9
CHST9,HGNC:19898,CHST9,18,protein-coding gene,gene with protein product,,,ENSG00000154080,83539,Q7L1S5
CHST10,HGNC:19650,CHST10,2,protein-coding gene,gene with protein product,,,ENSG00000115526,9486,O43529
CHST11,HGNC:17422,CHST11,12,protein-coding gene,gene with protein product,,,ENSG00000171310,50515,Q9NPF2
CHST12,HGNC:17423,CHST12,7,protein-coding gene,gene with protein product,,,ENSG00000136213,55501,Q9NRB3
CHST13,HGNC:21755,CHST13,3,protein-coding gene,gene with protein product,,,ENSG00000180767,166012,Q8NET6
CHST14,HGNC:24464,CHST14,15,protein-coding gene,gene with protein product,,2007-03-27,ENSG00000169105,113189,Q8NCH0
CHST15,HGNC:18137,CHST15,10,protein-coding gene,gene with protein product,,,ENSG00000182022,51363,Q7LFX5
CHSY1,HGNC:17198,CHSY1,15,protein-coding gene,gene with protein product,,2008-01-24,ENSG00000131873,22856,Q86X52
CHSY3,HGNC:24293,CHSY3,5,protein-coding gene,gene with protein product,,,ENSG00000198108,337876,Q70JA7
CHTF8,HGNC:24353,CHTF8,16,protein-coding gene,gene with protein product,,,ENSG00000168802,54921,P0CG13
CHTF8P1,HGNC:35443,CHTF8P1,X,pseudogene,pseudogene,,2010-01-19,ENSG00000233543,677883,
CHTF18,HGNC:18435,CHTF18,16,protein-coding gene,gene with protein product,,,ENSG00000127586,63922,Q8WVB6
CHTOP,HGNC:24511,CHTOP,1,protein-coding gene,gene with protein product,,2011-03-24,ENSG00000160679,26097,Q9Y3Y2
CHUK,HGNC:1974,CHUK,10,protein-coding gene,gene with protein product,,,ENSG00000213341,1147,O15111
CHUK-DT,HGNC:55813,CHUK-DT,10,non-coding RNA,"RNA, long non-coding",,,ENSG00000227492,122152368,
CHURC1,HGNC:20099,CHURC1,14,protein-coding gene,gene with protein product,,2004-05-07,ENSG00000258289,91612,Q8WUH1
CHURC1-FNTB,HGNC:42960,CHURC1-FNTB,14,other,readthrough,,,ENSG00000125954,100529261,
CIAO1,HGNC:14280,CIAO1,2,protein-coding gene,gene with protein product,,2006-11-23,ENSG00000144021,9391,O76071
CIAO2A,HGNC:26235,CIAO2A,15,protein-coding gene,gene with protein product,,2018-05-17,ENSG00000166797,84191,Q9H5X1
CIAO2AP1,HGNC:43861,CIAO2AP1,3,pseudogene,pseudogene,,2021-03-24,ENSG00000234048,106480777,
CIAO2AP2,HGNC:43862,CIAO2AP2,1,pseudogene,pseudogene,,2021-03-24,ENSG00000224566,391174,
CIAO2B,HGNC:24261,CIAO2B,16,protein-coding gene,gene with protein product,,2018-05-17,ENSG00000166595,51647,Q9Y3D0
CIAO3,HGNC:14179,CIAO3,16,protein-coding gene,gene with protein product,,2018-05-17,ENSG00000103245,64428,Q9H6Q4
CIAPIN1,HGNC:28050,CIAPIN1,16,protein-coding gene,gene with protein product,,,ENSG00000005194,57019,Q6FI81
CIAPIN1P,HGNC:31087,CIAPIN1P,18,pseudogene,pseudogene,,,ENSG00000263846,728599,
CIART,HGNC:25200,CIART,1,protein-coding gene,gene with protein product,,2014-01-30,ENSG00000159208,148523,Q8N365
CIB1,HGNC:16920,CIB1,15,protein-coding gene,gene with protein product,,,ENSG00000185043,10519,Q99828
CIB2,HGNC:24579,CIB2,15,protein-coding gene,gene with protein product,,,ENSG00000136425,10518,O75838
CIB3,HGNC:24580,CIB3,19,protein-coding gene,gene with protein product,,,ENSG00000141977,117286,Q96Q77
CIB4,HGNC:33703,CIB4,2,protein-coding gene,gene with protein product,,,ENSG00000157884,130106,A0PJX0
CIBAR1,HGNC:30452,CIBAR1,8,protein-coding gene,gene with protein product,,2019-12-20,ENSG00000188343,137392,A1XBS5
CIBAR1-DT,HGNC:43644,CIBAR1-DT,8,non-coding RNA,"RNA, long non-coding",,2021-04-28,ENSG00000246662,642924,
CIBAR1P1,HGNC:32278,CIBAR1P1,15,pseudogene,pseudogene,,2019-12-20,ENSG00000157021,729073,
CIBAR1P2,HGNC:32287,CIBAR1P2,4,pseudogene,pseudogene,,2019-12-20,ENSG00000230219,403315,
CIBAR2,HGNC:24781,CIBAR2,16,protein-coding gene,gene with protein product,,2019-12-20,ENSG00000153789,339145,Q6ZTR7
CIC,HGNC:14214,CIC,19,protein-coding gene,gene with protein product,,,ENSG00000079432,23152,Q96RK0
CICP1,HGNC:23936,CICP1,Y,pseudogene,pseudogene,,,ENSG00000233652,360017,
CICP2,HGNC:23935,CICP2,Y,pseudogene,pseudogene,,,ENSG00000233740,360016,
CICP3,HGNC:37742,CICP3,1,pseudogene,pseudogene,,,ENSG00000229376,100132630,
CICP4,HGNC:37753,CICP4,20,pseudogene,pseudogene,,,ENSG00000232852,100132920,
CICP5,HGNC:37754,CICP5,1,pseudogene,pseudogene,,,ENSG00000233771,730978,
CICP6,HGNC:37755,CICP6,3,pseudogene,pseudogene,,,ENSG00000230304,100507251,
CICP7,HGNC:37756,CICP7,1,pseudogene,pseudogene,,,ENSG00000233653,100288667,
CICP8,HGNC:37757,CICP8,7,pseudogene,pseudogene,,,ENSG00000225371,442676,
CICP9,HGNC:37758,CICP9,10,pseudogene,pseudogene,,,ENSG00000228882,100420293,
CICP10,HGNC:37901,CICP10,2,pseudogene,pseudogene,,,ENSG00000224160,100462787,
CICP11,HGNC:37903,CICP11,7,pseudogene,pseudogene,,,ENSG00000237799,100288904,
CICP12,HGNC:37905,CICP12,7,pseudogene,pseudogene,,,ENSG00000225270,100420224,
CICP13,HGNC:37907,CICP13,1,pseudogene,pseudogene,,,ENSG00000234419,728615,
CICP14,HGNC:38542,CICP14,7,pseudogene,pseudogene,,,ENSG00000281490,100130600,
CICP15,HGNC:38549,CICP15,5,pseudogene,pseudogene,,,ENSG00000274553,100507648,
CICP16,HGNC:38550,CICP16,4,pseudogene,pseudogene,,,ENSG00000248213,100420203,
CICP17,HGNC:48827,CICP17,7,pseudogene,pseudogene,,,ENSG00000227233,642663,
CICP18,HGNC:48828,CICP18,6,pseudogene,pseudogene,,,ENSG00000217929,646070,
CICP19,HGNC:48829,CICP19,19,pseudogene,pseudogene,,,ENSG00000282059,100506706,
CICP20,HGNC:48830,CICP20,7,pseudogene,pseudogene,,,ENSG00000235955,100129050,
CICP21,HGNC:48836,CICP21,1,pseudogene,pseudogene,,,ENSG00000278455,100420263,
CICP22,HGNC:48838,CICP22,7,pseudogene,pseudogene,,,ENSG00000226220,100288083,
CICP23,HGNC:48833,CICP23,11,pseudogene,pseudogene,,,ENSG00000270921,100505953,
CICP24,HGNC:48831,CICP24,7,pseudogene,pseudogene,,,ENSG00000271466,107986730,
CICP25,HGNC:48837,CICP25,16,pseudogene,pseudogene,,,ENSG00000277349,100289383,
CICP26,HGNC:48834,CICP26,1,pseudogene,pseudogene,,,ENSG00000233003,648262,
CICP27,HGNC:48835,CICP27,1,pseudogene,pseudogene,,,ENSG00000233750,100420257,
CICP28,HGNC:48832,CICP28,7,pseudogene,pseudogene,,,ENSG00000277253,100287136,
CIDEA,HGNC:1976,CIDEA,18,protein-coding gene,gene with protein product,,,ENSG00000176194,1149,O60543
CIDEB,HGNC:1977,CIDEB,14,protein-coding gene,gene with protein product,,,ENSG00000136305,27141,Q9UHD4
CIDEC,HGNC:24229,CIDEC,3,protein-coding gene,gene with protein product,,,ENSG00000187288,63924,Q96AQ7
CIDECP1,HGNC:24230,CIDECP1,3,pseudogene,pseudogene,,2018-10-08,ENSG00000186162,152302,
CIITA,HGNC:7067,CIITA,16,protein-coding gene,gene with protein product,,2005-08-12,ENSG00000179583,4261,P33076
CILK1,HGNC:21219,CILK1,6,protein-coding gene,gene with protein product,,2019-09-19,ENSG00000112144,22858,Q9UPZ9
CILP,HGNC:1980,CILP,15,protein-coding gene,gene with protein product,,,ENSG00000138615,8483,O75339
CILP2,HGNC:24213,CILP2,19,protein-coding gene,gene with protein product,,,ENSG00000160161,148113,Q8IUL8
CINP,HGNC:23789,CINP,14,protein-coding gene,gene with protein product,,,ENSG00000100865,51550,Q9BW66
CIP2A,HGNC:29302,CIP2A,3,protein-coding gene,gene with protein product,,2017-07-06,ENSG00000163507,57650,Q8TCG1
CIPC,HGNC:20365,CIPC,14,protein-coding gene,gene with protein product,,2014-01-10,ENSG00000198894,85457,Q9C0C6
CIR1,HGNC:24217,CIR1,2,protein-coding gene,gene with protein product,,,ENSG00000138433,9541,Q86X95
CIR1P1,HGNC:44011,CIR1P1,5,pseudogene,pseudogene,,,ENSG00000253146,100131740,
CIR1P2,HGNC:44012,CIR1P2,4,pseudogene,pseudogene,,,ENSG00000250215,100131828,
CIR1P3,HGNC:44013,CIR1P3,11,pseudogene,pseudogene,,,ENSG00000216708,106480783,
CIRBP,HGNC:1982,CIRBP,19,protein-coding gene,gene with protein product,,,ENSG00000099622,1153,Q14011
CIRBP-AS1,HGNC:28588,CIRBP-AS1,19,non-coding RNA,"RNA, long non-coding",,2011-11-23,ENSG00000267493,148046,Q8TBR5
CISD1,HGNC:30880,CISD1,10,protein-coding gene,gene with protein product,,2007-08-10,ENSG00000122873,55847,Q9NZ45
CISD1P1,HGNC:29611,CISD1P1,2,pseudogene,pseudogene,,2011-04-28,ENSG00000213403,130500,
CISD2,HGNC:24212,CISD2,4,protein-coding gene,gene with protein product,,2007-08-10,ENSG00000145354,493856,Q8N5K1
CISD3,HGNC:27578,CISD3,17,protein-coding gene,gene with protein product,,,ENSG00000277972,284106,P0C7P0
CISH,HGNC:1984,CISH,3,protein-coding gene,gene with protein product,,,ENSG00000114737,1154,Q9NSE2
CISTR,HGNC:49426,CISTR,12,non-coding RNA,"RNA, long non-coding",,,ENSG00000260492,102216268,
CIT,HGNC:1985,CIT,12,protein-coding gene,gene with protein product,,,ENSG00000122966,11113,O14578
CITED1,HGNC:1986,CITED1,X,protein-coding gene,gene with protein product,,,ENSG00000125931,4435,Q99966
CITED2,HGNC:1987,CITED2,6,protein-coding gene,gene with protein product,,,ENSG00000164442,10370,Q99967
CITED4,HGNC:18696,CITED4,1,protein-coding gene,gene with protein product,,,ENSG00000179862,163732,Q96RK1
CIZ1,HGNC:16744,CIZ1,9,protein-coding gene,gene with protein product,,,ENSG00000148337,25792,Q9ULV3
CKAP2,HGNC:1990,CKAP2,13,protein-coding gene,gene with protein product,,,ENSG00000136108,26586,Q8WWK9
CKAP2L,HGNC:26877,CKAP2L,2,protein-coding gene,gene with protein product,,,ENSG00000169607,150468,Q8IYA6
CKAP2LP1,HGNC:54420,CKAP2LP1,20,pseudogene,pseudogene,,,ENSG00000271461,100533711,
CKAP2P1,HGNC:49923,CKAP2P1,14,pseudogene,pseudogene,,,ENSG00000258722,100420763,
CKAP4,HGNC:16991,CKAP4,12,protein-coding gene,gene with protein product,,,ENSG00000136026,10970,Q07065
CKAP5,HGNC:28959,CKAP5,11,protein-coding gene,gene with protein product,,,ENSG00000175216,9793,Q14008
CKB,HGNC:1991,CKB,14,protein-coding gene,gene with protein product,,,ENSG00000166165,1152,P12277
CKBP1,HGNC:1993,CKBP1,16,pseudogene,pseudogene,,,ENSG00000260889,1157,
CKLF,HGNC:13253,CKLF,16,protein-coding gene,gene with protein product,,2003-03-07,ENSG00000217555,51192,Q9UBR5
CKLF-CMTM1,HGNC:39977,CKLF-CMTM1,16,other,readthrough,,,ENSG00000254788,100529251,
CKM,HGNC:1994,CKM,19,protein-coding gene,gene with protein product,,,ENSG00000104879,1158,P06732
CKMT1A,HGNC:31736,CKMT1A,15,protein-coding gene,gene with protein product,,,ENSG00000223572,548596,P12532
CKMT1B,HGNC:1995,CKMT1B,15,protein-coding gene,gene with protein product,,2005-04-15,ENSG00000237289,1159,P12532
CKMT2,HGNC:1996,CKMT2,5,protein-coding gene,gene with protein product,,,ENSG00000131730,1160,P17540
CKMT2-AS1,HGNC:48997,CKMT2-AS1,5,non-coding RNA,"RNA, long non-coding",,,ENSG00000247572,100131067,
CKS1B,HGNC:19083,CKS1B,1,protein-coding gene,gene with protein product,,,ENSG00000173207,1163,P61024
CKS1BP1,HGNC:20004,CKS1BP1,14,pseudogene,pseudogene,,2009-11-25,ENSG00000258788,317780,
CKS1BP2,HGNC:24232,CKS1BP2,10,pseudogene,pseudogene,,,ENSG00000225976,246714,
CKS1BP3,HGNC:24233,CKS1BP3,5,pseudogene,pseudogene,,,ENSG00000268942,246715,
CKS1BP4,HGNC:17395,CKS1BP4,11,pseudogene,pseudogene,,,ENSG00000255541,100499259,
CKS1BP5,HGNC:17640,CKS1BP5,5,pseudogene,pseudogene,,,ENSG00000250972,100526793,
CKS1BP6,HGNC:24608,CKS1BP6,X,pseudogene,pseudogene,,,ENSG00000178556,652904,
CKS1BP7,HGNC:1999,CKS1BP7,8,pseudogene,pseudogene,,2011-04-28,ENSG00000254331,137529,
CKS2,HGNC:2000,CKS2,9,protein-coding gene,gene with protein product,,,ENSG00000123975,1164,P33552
CLASP1,HGNC:17088,CLASP1,2,protein-coding gene,gene with protein product,,,ENSG00000074054,23332,Q7Z460
CLASP1-AS1,HGNC:55328,CLASP1-AS1,2,non-coding RNA,"RNA, long non-coding",,,ENSG00000265451,107985942,
CLASP2,HGNC:17078,CLASP2,3,protein-coding gene,gene with protein product,,,ENSG00000163539,23122,O75122
CLASRP,HGNC:17731,CLASRP,19,protein-coding gene,gene with protein product,,2010-09-21,ENSG00000104859,11129,Q8N2M8
CLBA1,HGNC:20126,CLBA1,14,protein-coding gene,gene with protein product,,2017-06-30,ENSG00000140104,122616,Q96F83
CLC,HGNC:2014,CLC,19,protein-coding gene,gene with protein product,,,ENSG00000105205,1178,Q05315
CLCA1,HGNC:2015,CLCA1,1,protein-coding gene,gene with protein product,,,ENSG00000016490,1179,A8K7I4
CLCA2,HGNC:2016,CLCA2,1,protein-coding gene,gene with protein product,,,ENSG00000137975,9635,Q9UQC9
CLCA3P,HGNC:2017,CLCA3P,1,pseudogene,pseudogene,,2009-01-29,ENSG00000153923,9629,Q9Y6N3
CLCA4,HGNC:2018,CLCA4,1,protein-coding gene,gene with protein product,,,ENSG00000016602,22802,Q14CN2
CLCA4-AS1,HGNC:54055,CLCA4-AS1,1,non-coding RNA,"RNA, long non-coding",,,ENSG00000236915,105378828,
CLCC1,HGNC:29675,CLCC1,1,protein-coding gene,gene with protein product,,,ENSG00000121940,23155,Q96S66
CLCF1,HGNC:17412,CLCF1,11,protein-coding gene,gene with protein product,,,ENSG00000175505,23529,Q9UBD9
CLCN1,HGNC:2019,CLCN1,7,protein-coding gene,gene with protein product,,,ENSG00000188037,1180,P35523
CLCN2,HGNC:2020,CLCN2,3,protein-coding gene,gene with protein product,,,ENSG00000114859,1181,P51788
CLCN3,HGNC:2021,CLCN3,4,protein-coding gene,gene with protein product,,,ENSG00000109572,1182,P51790
CLCN3P1,HGNC:49775,CLCN3P1,9,pseudogene,pseudogene,,,ENSG00000232000,100419056,
CLCN4,HGNC:2022,CLCN4,X,protein-coding gene,gene with protein product,,,ENSG00000073464,1183,P51793
CLCN5,HGNC:2023,CLCN5,X,protein-coding gene,gene with protein product,,,ENSG00000171365,1184,P51795
CLCN6,HGNC:2024,CLCN6,1,protein-coding gene,gene with protein product,,,ENSG00000011021,1185,P51797
CLCN7,HGNC:2025,CLCN7,16,protein-coding gene,gene with protein product,,,ENSG00000103249,1186,P51798
CLCNKA,HGNC:2026,CLCNKA,1,protein-coding gene,gene with protein product,,,ENSG00000186510,1187,P51800
CLCNKB,HGNC:2027,CLCNKB,1,protein-coding gene,gene with protein product,,,ENSG00000184908,1188,P51801
CLCP1,HGNC:19257,CLCP1,22,pseudogene,pseudogene,,,ENSG00000232305,266626,
CLCP2,HGNC:42536,CLCP2,13,pseudogene,pseudogene,,,ENSG00000226158,100128145,
CLDN1,HGNC:2032,CLDN1,3,protein-coding gene,gene with protein product,,,ENSG00000163347,9076,O95832
CLDN2,HGNC:2041,CLDN2,X,protein-coding gene,gene with protein product,,,ENSG00000165376,9075,P57739
CLDN3,HGNC:2045,CLDN3,7,protein-coding gene,gene with protein product,,,ENSG00000165215,1365,O15551
CLDN4,HGNC:2046,CLDN4,7,protein-coding gene,gene with protein product,,,ENSG00000189143,1364,O14493
CLDN5,HGNC:2047,CLDN5,22,protein-coding gene,gene with protein product,,,ENSG00000184113,7122,O00501
CLDN6,HGNC:2048,CLDN6,16,protein-coding gene,gene with protein product,,,ENSG00000184697,9074,P56747
CLDN7,HGNC:2049,CLDN7,17,protein-coding gene,gene with protein product,,,ENSG00000181885,1366,O95471
CLDN7P1,HGNC:54935,CLDN7P1,X,pseudogene,pseudogene,,,ENSG00000214031,100129851,
CLDN8,HGNC:2050,CLDN8,21,protein-coding gene,gene with protein product,,,ENSG00000156284,9073,P56748
CLDN9,HGNC:2051,CLDN9,16,protein-coding gene,gene with protein product,,,ENSG00000213937,9080,O95484
CLDN10,HGNC:2033,CLDN10,13,protein-coding gene,gene with protein product,,,ENSG00000134873,9071,P78369
CLDN10-AS1,HGNC:39907,CLDN10-AS1,13,non-coding RNA,"RNA, long non-coding",,,ENSG00000223392,100874194,
CLDN11,HGNC:8514,CLDN11,3,protein-coding gene,gene with protein product,,,ENSG00000013297,5010,O75508
CLDN12,HGNC:2034,CLDN12,7,protein-coding gene,gene with protein product,,,ENSG00000157224,9069,P56749
CLDN14,HGNC:2035,CLDN14,21,protein-coding gene,gene with protein product,,,ENSG00000159261,23562,O95500
CLDN15,HGNC:2036,CLDN15,7,protein-coding gene,gene with protein product,,,ENSG00000106404,24146,P56746
CLDN16,HGNC:2037,CLDN16,3,protein-coding gene,gene with protein product,,,ENSG00000113946,10686,Q9Y5I7
CLDN17,HGNC:2038,CLDN17,21,protein-coding gene,gene with protein product,,,ENSG00000156282,26285,P56750
CLDN18,HGNC:2039,CLDN18,3,protein-coding gene,gene with protein product,,,ENSG00000066405,51208,P56856
CLDN19,HGNC:2040,CLDN19,1,protein-coding gene,gene with protein product,,,ENSG00000164007,149461,Q8N6F1
CLDN20,HGNC:2042,CLDN20,6,protein-coding gene,gene with protein product,,,ENSG00000171217,49861,P56880
CLDN22,HGNC:2044,CLDN22,4,protein-coding gene,gene with protein product,,,ENSG00000177300,53842,Q8N7P3
CLDN23,HGNC:17591,CLDN23,8,protein-coding gene,gene with protein product,,,ENSG00000253958,137075,Q96B33
CLDN24,HGNC:37200,CLDN24,4,protein-coding gene,gene with protein product,,,ENSG00000185758,100132463,A6NM45
CLDN25,HGNC:37218,CLDN25,11,protein-coding gene,gene with protein product,,,ENSG00000228607,644672,C9JDP6
CLDN34,HGNC:51259,CLDN34,X,protein-coding gene,gene with protein product,,,ENSG00000234469,100288814,H7C241
CLDND1,HGNC:1322,CLDND1,3,protein-coding gene,gene with protein product,,2005-12-23,ENSG00000080822,56650,Q9NY35
CLDND2,HGNC:28511,CLDND2,19,protein-coding gene,gene with protein product,,,ENSG00000160318,125875,Q8NHS1
CLEC1A,HGNC:24355,CLEC1A,12,protein-coding gene,gene with protein product,,,ENSG00000150048,51267,Q8NC01
CLEC1B,HGNC:24356,CLEC1B,12,protein-coding gene,gene with protein product,,,ENSG00000165682,51266,Q9P126
CLEC2A,HGNC:24191,CLEC2A,12,protein-coding gene,gene with protein product,,,ENSG00000188393,387836,Q6UVW9
CLEC2B,HGNC:2053,CLEC2B,12,protein-coding gene,gene with protein product,,2005-02-09,ENSG00000110852,9976,Q92478
CLEC2D,HGNC:14351,CLEC2D,12,protein-coding gene,gene with protein product,,,ENSG00000069493,29121,Q9UHP7
CLEC2L,HGNC:21969,CLEC2L,7,protein-coding gene,gene with protein product,,,ENSG00000236279,154790,P0C7M8
CLEC3A,HGNC:2052,CLEC3A,16,protein-coding gene,gene with protein product,,2005-02-11,ENSG00000166509,10143,O75596
CLEC3B,HGNC:11891,CLEC3B,3,protein-coding gene,gene with protein product,,2005-02-09,ENSG00000163815,7123,P05452
CLEC4A,HGNC:13257,CLEC4A,12,protein-coding gene,gene with protein product,,2005-02-09,ENSG00000111729,50856,Q9UMR7
CLEC4C,HGNC:13258,CLEC4C,12,protein-coding gene,gene with protein product,,2005-02-11,ENSG00000198178,170482,Q8WTT0
CLEC4D,HGNC:14554,CLEC4D,12,protein-coding gene,gene with protein product,,2005-02-11,ENSG00000166527,338339,Q8WXI8
CLEC4E,HGNC:14555,CLEC4E,12,protein-coding gene,gene with protein product,,2005-02-09,ENSG00000166523,26253,Q9ULY5
CLEC4F,HGNC:25357,CLEC4F,2,protein-coding gene,gene with protein product,,2005-02-11,ENSG00000152672,165530,Q8N1N0
CLEC4G,HGNC:24591,CLEC4G,19,protein-coding gene,gene with protein product,,,ENSG00000182566,339390,Q6UXB4
CLEC4GP1,HGNC:33502,CLEC4GP1,19,pseudogene,pseudogene,,,ENSG00000268297,440508,
CLEC4M,HGNC:13523,CLEC4M,19,protein-coding gene,gene with protein product,,2005-02-11,ENSG00000104938,10332,Q9H2X3
CLEC4OP,HGNC:52651,CLEC4OP,19,pseudogene,pseudogene,,2021-03-08,ENSG00000267453,102724279,
CLEC5A,HGNC:2054,CLEC5A,7,protein-coding gene,gene with protein product,,2005-02-09,ENSG00000258227,23601,Q9NY25
CLEC6A,HGNC:14556,CLEC6A,12,protein-coding gene,gene with protein product,,2005-02-11,ENSG00000205846,93978,Q6EIG7
CLEC7A,HGNC:14558,CLEC7A,12,protein-coding gene,gene with protein product,,2005-02-09,ENSG00000172243,64581,Q9BXN2
CLEC9A,HGNC:26705,CLEC9A,12,protein-coding gene,gene with protein product,,,ENSG00000197992,283420,Q6UXN8
CLEC10A,HGNC:16916,CLEC10A,17,protein-coding gene,gene with protein product,,2005-02-11,ENSG00000132514,10462,Q8IUN9
CLEC11A,HGNC:10576,CLEC11A,19,protein-coding gene,gene with protein product,,2005-02-11,ENSG00000105472,6320,Q9Y240
CLEC12A,HGNC:31713,CLEC12A,12,protein-coding gene,gene with protein product,,,ENSG00000172322,160364,Q5QGZ9
CLEC12A-AS1,HGNC:53407,CLEC12A-AS1,12,non-coding RNA,"RNA, long non-coding",,,ENSG00000231560,400002,
CLEC12B,HGNC:31966,CLEC12B,12,protein-coding gene,gene with protein product,,,ENSG00000256660,387837,Q2HXU8
CLEC14A,HGNC:19832,CLEC14A,14,protein-coding gene,gene with protein product,,2005-02-11,ENSG00000176435,161198,Q86T13
CLEC16A,HGNC:29013,CLEC16A,16,protein-coding gene,gene with protein product,,2007-07-17,ENSG00000038532,23274,Q2KHT3
CLEC17A,HGNC:34520,CLEC17A,19,protein-coding gene,gene with protein product,,,ENSG00000187912,388512,Q6ZS10
CLEC18A,HGNC:30388,CLEC18A,16,protein-coding gene,gene with protein product,,2009-03-10,ENSG00000157322,348174,A5D8T8
CLEC18B,HGNC:33849,CLEC18B,16,protein-coding gene,gene with protein product,,2009-03-10,ENSG00000140839,497190,Q6UXF7
CLEC18C,HGNC:28538,CLEC18C,16,protein-coding gene,gene with protein product,,2009-03-10,ENSG00000157335,283971,Q8NCF0
CLEC19A,HGNC:34522,CLEC19A,16,protein-coding gene,gene with protein product,,,ENSG00000261210,728276,Q6UXS0
CLEC20A,HGNC:34521,CLEC20A,1,protein-coding gene,gene with protein product,,2017-01-19,ENSG00000188585,400797,Q6ZU45
CLECL1,HGNC:24462,CLECL1,12,protein-coding gene,gene with protein product,,,ENSG00000184293,160365,Q8IZS7
CLGN,HGNC:2060,CLGN,4,protein-coding gene,gene with protein product,,,ENSG00000153132,1047,O14967
CLHC1,HGNC:26453,CLHC1,2,protein-coding gene,gene with protein product,,2012-08-03,ENSG00000162994,130162,Q8NHS4
CLIC1,HGNC:2062,CLIC1,6,protein-coding gene,gene with protein product,,,ENSG00000213719,1192,O00299
CLIC1P1,HGNC:32691,CLIC1P1,12,pseudogene,pseudogene,,,ENSG00000231313,390363,
CLIC2,HGNC:2063,CLIC2,X,protein-coding gene,gene with protein product,,,ENSG00000155962,1193,O15247
CLIC3,HGNC:2064,CLIC3,9,protein-coding gene,gene with protein product,,,ENSG00000169583,9022,O95833
CLIC4,HGNC:13518,CLIC4,1,protein-coding gene,gene with protein product,,,ENSG00000169504,25932,Q9Y696
CLIC4P1,HGNC:49797,CLIC4P1,9,pseudogene,pseudogene,,,ENSG00000236739,646609,
CLIC4P2,HGNC:49798,CLIC4P2,19,pseudogene,pseudogene,,,ENSG00000269546,100130584,
CLIC4P3,HGNC:49799,CLIC4P3,X,pseudogene,pseudogene,,,ENSG00000237931,442447,
CLIC5,HGNC:13517,CLIC5,6,protein-coding gene,gene with protein product,,,ENSG00000112782,53405,Q9NZA1
CLIC6,HGNC:2065,CLIC6,21,protein-coding gene,gene with protein product,,,ENSG00000159212,54102,Q96NY7
CLINT1,HGNC:23186,CLINT1,5,protein-coding gene,gene with protein product,,,ENSG00000113282,9685,Q14677
CLIP1,HGNC:10461,CLIP1,12,protein-coding gene,gene with protein product,,2007-01-05,ENSG00000130779,6249,P30622
CLIP1-AS1,HGNC:48586,CLIP1-AS1,12,non-coding RNA,"RNA, long non-coding",,,ENSG00000257097,100507066,
CLIP2,HGNC:2586,CLIP2,7,protein-coding gene,gene with protein product,,2007-01-04,ENSG00000106665,7461,Q9UDT6
CLIP3,HGNC:24314,CLIP3,19,protein-coding gene,gene with protein product,,,ENSG00000105270,25999,Q96DZ5
CLIP4,HGNC:26108,CLIP4,2,protein-coding gene,gene with protein product,,2007-01-04,ENSG00000115295,79745,Q8N3C7
CLK1,HGNC:2068,CLK1,2,protein-coding gene,gene with protein product,,,ENSG00000013441,1195,P49759
CLK2,HGNC:2069,CLK2,1,protein-coding gene,gene with protein product,,,ENSG00000176444,1196,P49760
CLK2P1,HGNC:2070,CLK2P1,7,pseudogene,pseudogene,,2015-02-06,ENSG00000232553,1197,
CLK3,HGNC:2071,CLK3,15,protein-coding gene,gene with protein product,,,ENSG00000179335,1198,P49761
CLK3P1,HGNC:49785,CLK3P1,9,pseudogene,pseudogene,,,,646505,
CLK3P2,HGNC:49786,CLK3P2,1,pseudogene,pseudogene,,,ENSG00000226191,100128834,
CLK4,HGNC:13659,CLK4,5,protein-coding gene,gene with protein product,,,ENSG00000113240,57396,Q9HAZ1
CLLU1,HGNC:29841,CLLU1,12,non-coding RNA,"RNA, long non-coding",,,ENSG00000257127,574028,Q5K131
CLLU1-AS1,HGNC:24070,CLLU1-AS1,12,non-coding RNA,"RNA, long non-coding",,2019-10-30,ENSG00000205057,574016,Q5K130
CLMAT3,HGNC:52287,CLMAT3,5,non-coding RNA,"RNA, long non-coding",,,ENSG00000249035,101927096,
CLMN,HGNC:19972,CLMN,14,protein-coding gene,gene with protein product,,,ENSG00000165959,79789,Q96JQ2
CLMP,HGNC:24039,CLMP,11,protein-coding gene,gene with protein product,,,ENSG00000166250,79827,Q9H6B4
CLN3,HGNC:2074,CLN3,16,protein-coding gene,gene with protein product,,,ENSG00000188603,1201,Q13286
CLN5,HGNC:2076,CLN5,13,protein-coding gene,gene with protein product,,,ENSG00000102805,1203,O75503
CLN6,HGNC:2077,CLN6,15,protein-coding gene,gene with protein product,,,ENSG00000128973,54982,Q9NWW5
CLN8,HGNC:2079,CLN8,8,protein-coding gene,gene with protein product,,,ENSG00000182372,2055,Q9UBY8
CLN8-AS1,HGNC:55523,CLN8-AS1,8,non-coding RNA,"RNA, long non-coding",,,ENSG00000253982,101927752,
